A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,1700,1600,1480,1300,1150,965,635,465,250,140,66,27
E,1500,1380,1275,1130,1015,875,585,430,235,135,63,26
F,1200,1180,1110,985,875,755,535,400,220,130,60,25
G,1000,990,930,840,755,650,485,370,205,125,57,24
H,820,790,740,670,605,525,405,325,185,120,55,23
I,700,600,560,520,480,420,340,275,170,115,52,22
J,600,470,430,400,370,340,285,235,150,110,49,21
K,500,360,340,315,290,270,235,200,135,100,47,20
L,300,285,270,250,230,215,195,165,120,85,45,19
M,280,230,215,205,190,180,165,140,105,75,43,18
