A,FL,IF,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3
D,840,810,700,635,535,440,315,255,155,111,54,23
E,700,680,615,550,490,410,295,240,145,106,52,22
F,600,580,535,490,425,365,275,225,138,101,50,21
G,500,480,445,405,370,325,245,200,127,95,47,20
H,400,370,345,325,305,270,215,180,114,90,44,19
I,300,290,270,255,240,215,190,160,105,86,41,18
J,250,230,215,200,190,175,155,140,95,75,39,17
K,200,190,180,165,155,145,130,120,83,66,37,16
L,170,155,145,135,125,115,105,100,73,59,34,16
M,140,125,115,105,100,95,90,80,65,50,32,16
